,FNR,FPR,AUTOMATED,REJECT_TRUE,threshold_for_10_model,threshold__for_3_model
0,1.6,22.14,73.95,73.87,0.01,0.01
1,1.66,21.18,74.86,74.78,0.01,0.016644295302013425
2,1.7,20.21,75.78,75.7,0.01,0.023288590604026847
3,1.7,19.91,76.07,75.98,0.01,0.02993288590604027
4,1.71,19.59,76.37,76.28,0.01,0.03657718120805369
5,1.71,19.55,76.41,76.32,0.01,0.043221476510067115
6,1.73,19.47,76.48,76.39,0.01,0.04986577181208054
7,1.77,19.4,76.56,76.47,0.01,0.05651006711409396
8,1.77,19.36,76.59,76.5,0.01,0.06315436241610738
9,1.77,19.35,76.61,76.52,0.01,0.0697986577181208
10,1.78,19.24,76.71,76.62,0.01,0.07644295302013422
11,1.78,19.21,76.73,76.64,0.01,0.08308724832214764
12,1.78,19.21,76.74,76.65,0.01,0.08973154362416107
13,1.79,19.2,76.75,76.65,0.01,0.09637583892617449
14,1.79,19.19,76.75,76.66,0.01,0.10302013422818791
15,1.79,19.19,76.76,76.66,0.01,0.10966442953020133
16,1.79,19.19,76.76,76.66,0.01,0.11630872483221476
17,1.79,19.19,76.76,76.67,0.01,0.12295302013422818
18,1.79,19.19,76.76,76.67,0.01,0.12959731543624162
19,1.79,19.19,76.76,76.67,0.01,0.13624161073825503
20,1.79,19.19,76.76,76.67,0.01,0.14288590604026846
21,1.79,19.18,76.76,76.67,0.01,0.1495302013422819
22,1.79,19.18,76.76,76.67,0.01,0.1561744966442953
23,1.79,19.18,76.76,76.67,0.01,0.16281879194630872
24,1.79,19.18,76.77,76.68,0.01,0.16946308724832215
25,1.79,19.18,76.77,76.68,0.01,0.1761073825503356
26,1.79,19.18,76.77,76.68,0.01,0.182751677852349
27,1.79,19.18,76.77,76.68,0.01,0.1893959731543624
28,1.79,19.18,76.77,76.68,0.01,0.19604026845637584
29,1.79,19.17,76.77,76.68,0.01,0.20268456375838928
30,1.79,19.17,76.77,76.68,0.01,0.2093288590604027
31,1.79,19.17,76.77,76.68,0.01,0.2159731543624161
32,1.79,19.17,76.77,76.68,0.01,0.22261744966442953
33,1.79,19.17,76.77,76.68,0.01,0.22926174496644297
34,1.79,19.17,76.77,76.68,0.01,0.23590604026845638
35,1.79,19.17,76.77,76.68,0.01,0.2425503355704698
36,1.79,19.17,76.77,76.68,0.01,0.24919463087248322
37,1.79,19.17,76.77,76.68,0.01,0.25583892617449666
38,1.79,19.17,76.78,76.69,0.01,0.26248322147651004
39,1.79,19.17,76.78,76.69,0.01,0.2691275167785235
40,1.79,19.17,76.78,76.69,0.01,0.2757718120805369
41,1.79,19.17,76.78,76.69,0.01,0.28241610738255035
42,1.79,19.17,76.78,76.69,0.01,0.2890604026845638
43,1.79,19.17,76.78,76.69,0.01,0.29570469798657717
44,1.79,19.17,76.78,76.69,0.01,0.3023489932885906
45,1.79,19.17,76.78,76.69,0.01,0.30899328859060404
46,1.79,19.17,76.78,76.69,0.01,0.3156375838926174
47,1.79,19.17,76.78,76.69,0.01,0.32228187919463086
48,1.79,19.16,76.78,76.69,0.01,0.3289261744966443
49,1.79,19.16,76.78,76.69,0.01,0.33557046979865773
50,1.79,19.16,76.78,76.69,0.01,0.34221476510067117
51,1.79,19.16,76.78,76.69,0.01,0.34885906040268455
52,1.79,19.16,76.78,76.69,0.01,0.355503355704698
53,1.79,19.16,76.78,76.69,0.01,0.3621476510067114
54,1.8,19.16,76.78,76.69,0.01,0.3687919463087248
55,1.8,19.16,76.78,76.69,0.01,0.37543624161073824
